POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,AMOUNT_LC,DUMMY_ISU,ZEUGN
4,8639,NE00,BP,42460358,1,,,,,NE00,BP,,110,CS,,20-003-1,20240912,,20250930,,,376130442230659447,376130442230659447,376130442230659447,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-003-2,,,,NPALLET-I1,X,350103475160037944,350103475160037944,350103475160037944,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9776,NE00,BP,42693451,1,,,,,NE00,BP,,25,CS,,20-003-2,20241009,,20250831,,,350103475160037944,350103475160037944,350103475160037944,92,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-003-3,,,,NPALLET-I1,X,350018900021412705,350018900021412705,350018900021412705,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9708,NE00,BP,42053156,1,,,,,NE00,BP,,18,CS,,20-003-3,20241002,,20250731,,,350018900021412705,350018900021412705,350018900021412705,94,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,20-003-4,,,,NPALLET-E1,X,350103450030181385,350103450030181385,350103450030181385,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9746,NE00,BP,41849722GA,1,,,,,NE00,BP,,49,CS,,20-003-4,20240806,,20250630,,,350103450030181385,350103450030181385,350103450030181385,96,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-003-5,,,,NPALLET-I1,X,359000208100774374,359000208100774374,359000208100774374,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9864,NE00,BP,42500968,1,,,,,NE00,BP,,80,CS,,20-003-5,20241002,,20250930,,,359000208100774374,359000208100774374,359000208100774374,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-003-6,,,,NPALLET-I1,X,350103471909211422,350103471909211422,350103471909211422,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9638,NE00,BP,42121042H,1,,,,,NE00,BP,,320,CS,,20-003-6,20241004,,20250731,,,350103471909211422,350103471909211422,350103471909211422,100,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,20-003-8,,,,NPALLET-I1,X,350103471909145352,350103471909145352,350103471909145352,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10138,NE00,BP,41941042E,1,,,,,NE00,BP,,80,CS,,20-003-8,20241004,,20250731,,,350103471909145352,350103471909145352,350103471909145352,102,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
